ui_texture_detail|Уровень детализации текстур:
ui_max_frame_rate|Макс. частота смены кадров:
ui_enable_bumpmap|Использовать карты рельефности
ui_disable_blood|Не показывать кровь
ui_disable_music|Отключить музыку
ui_disable_sound|Отключить звуки
ui_enable_cheats|Разрешить читы
ui_enable_edit_mode|Активировать режим редактирования (Осторожно! Это замедлит игру.)
ui_enable_pixel_shaders|Использовать пиксельные шейдеры
ui_enable_sound_variation|Активировать вариацию звуков
ui_enable_vertex_shaders|Метод отображения:
ui_shadow_quality|Качество теней:
ui_directx_7|DirectX 7
ui_directx_9|DirectX 9
ui_show_framerate|Показать частоту смены кадров
ui_start_windowed|Запускать в режиме окна
ui_trialmode_caption|Активация
ui_trialmode|Пожалуйста, уделите пару минут активации игры Mount&Blade Эпоха Турниров с помощью Вашего серийного ключа. Ваш уникальный, 16-значный серийный ключ находится внутри коробки с игрой.\nЕсли Вы по какой-то причине не желаете активировать игру сейчас, Вы сможете продолжать играть в режиме демо-версии, но не сможете развить своего персонажа выше 8-го уровня.
ui_launch_buy|Купить лицензию на TaleWorlds.com
ui_launch_faq|Часто задаваемые вопросы по поводу активации.
ui_trialmode2|Для того, чтобы активировать игру сейчас...
ui_trialmode3|Или же Вы можете...
ui_trialmode4|Если у Вас есть вопросы касательно процессса активации, Вы можете прочесть...
ui_serial_key_caption|Серийный Ключ
ui_notification_serial_input|Введите Ваш серийный ключ ниже (Вы можете также скопировать и вставить его) и нажмите кнопку "Активировать"
ui_activate|Активировать
ui_paste|Вставить
ui_notification_serial_internet_connection|Для активации необходимо подключение к Интернету!
ui_notification_serial_offline|Если этот компьютер не подключен к Интернету, Вы можете использовать:
ui_manual_activation|Ручная активация
ui_offline_activation|Оффлайн активация
ui_manual_activation_caption|Ручная активация
ui_offline_activation_caption|Оффлайн активация
ui_cancel2|Отменить
ui_close|Закрыть
ui_ok2|OK
ui_activation_successful|Игра была успешно активирована.
ui_activation_successful2|Пожалуйста, сохраните Ваш серийный ключ для дальнейшего использования. Он может снова оказаться полезным если Вы захотите установить Mount&&Blade Эпоха турниров на другой компьютер.
ui_activation_denied|В активации отказано!
ui_notification_serial_already_used|Serial Ключ уже используется другим компьютером. Нужно подождать пару недель прежде чем реактивировать игру на этом компьютере.
ui_notification_unable_to_connect_to_activation_server|Невозможно присоединиться к активационному серверу! 
ui_notification_unable_to_connect_to_activation_server2|Пожалуйста, убедитесь в том, что доступ к Интернету есть и он работает. Если Вы используете фаерволл, Вам может понадобиться разрешить игре доступ к Интернету. Если же и это не помогает, можете воспользоваться ручной активацией.
ui_incorrect_serial_number|Неправильный серийный ключ!
ui_incorrect_hardware_hash|Incorrect Hardware Hash!
ui_incorrect_activation_code|Неправильный код активации!
ui_cant_write_to_registry|Не выходит внести в Регистр!
ui_video|Видео
ui_audio|Аудио
ui_game|Игра
ui_advanced|Дополнительные
ui_mount_and_blade_is_ready|Mount&&Blade Эпоха турниров готова.
ui_notification_trial_mode|Mount&&Blade Эпоха турниров в данный момент работает в режиме демо-версии. В этом режиме Вы можете свободно играть пока Ваш персонаж не достигнет уровня 6.Для дальнейшей игры приобретите лицензию на taleworlds.com.Для того, чтобы купить игру в сети и получить доступ к полной версии, потребуется совсем немного времени.
ui_there_are_no_modules_installed|Установленные модули не обнаружены!
ui_notification_new_version|Была обнаружена более новая версия Mount&Blade Эпоха турниров.\nВерсия, используемая в данный момент - %d.%d%d%d.\nНовейшая версия Mount&Blade Эпоха турниров - %d.%d%d%d.\nВы можете загрузить новейшую версию с www.taleworlds.com.
ui_new_version_found|Обнаружена новая версия!
ui_notification_unable_to_retreive_new_version|Невозможно получить доступ к информации о новых версиях. Пожалуйста, попытайтесь еще раз позже!
ui_new_version|Новая версия:
ui_notification_latest_version|Установленная версия  Mount&&Blade Эпоха турниров является новейшей.
ui_mount_and_blade_is_up_to_date|Mount&Blade Эпоха турниров полностью обновлена
ui_off|Выключить
ui_continue_playing_the_trial_mode|Продолжить играть в режиме демо-версии
ui_faq_caption|FAQ
